Ref	Val	Package	PosX	PosY	Rot	Side
U3 ,   ,  SOT-89_L4.5-W2.5-P1.50-LS4.2-BR ,  -8.644 ,  -28.299 ,  180 ,  B
C7 ,  10uF ,  C0603 ,  -10 ,  -23.924 ,  270 ,  B
C8 ,  0.1uF ,  C0603 ,  -7.82 ,  -23.924 ,  270 ,  B
U10 ,   ,  TO-263-5_L10.2-W8.6-P1.70-LS14.4-TL ,  -29.077 ,  -31.341 ,  180 ,  B
U4 ,   ,  SMB_L4.3-W3.6-LS5.4-RD ,  -27.686 ,  -16.459 ,  0 ,  B
U5 ,   ,  CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD-1 ,  -23.802 ,  -40.586 ,  180 ,  B
L2 ,  33uF ,  IND-SMD_L7.3-W6.6 ,  -27.686 ,  -22.2 ,  0 ,  B
U6 ,   ,  CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD-1 ,  -15.02 ,  -27.226 ,  270 ,  B
U7 ,   ,  DC-IN-TH_C9900011504 ,  -7.599 ,  -34.338 ,  180 ,  B
FUSE1 ,  1A ,  R1206 ,  -15.841 ,  -40.891 ,  180 ,  B
U14 ,   ,  WIFI-SMD_ESP32-WROOM-32E-A ,  -13.564 ,  -11.732 ,  90 ,  B
C11 ,  0.1uF ,  C0603 ,  -6.55 ,  -0.429 ,  180 ,  B
R4 ,  10K ,  R0603 ,  -28.308 ,  -3.595 ,  0 ,  B
R5 ,  10K ,  R0603 ,  -28.308 ,  -5.394 ,  0 ,  B
R6 ,  10K ,  R0603 ,  -28.308 ,  -7.193 ,  0 ,  B
R7 ,  10K ,  R0603 ,  -28.308 ,  -8.992 ,  0 ,  B
R8 ,  10K ,  R0603 ,  -28.308 ,  -10.791 ,  0 ,  B
R9 ,  10K ,  R0603 ,  -28.308 ,  -12.59 ,  0 ,  B
R2 ,  10K ,  R0603 ,  -3.325 ,  -24.638 ,  180 ,  B
R3 ,  10K ,  R0603 ,  -3.325 ,  -28.6 ,  180 ,  B
LED1 ,   ,  LED0603-RD-YELLOW ,  -3.302 ,  -26.484 ,  0 ,  B
LED2 ,   ,  LED0603-RD-YELLOW ,  -3.329 ,  -30.632 ,  0 ,  B
R10 ,  100K ,  R0603 ,  -14.191 ,  -37.945 ,  270 ,  B
R11 ,  10K ,  R0603 ,  -17.492 ,  -37.945 ,  90 ,  B
H2 ,   ,  HDR-TH_6P-P2.54-V-F-R2-C3-S2.54 ,  -34.338 ,  -41.247 ,  0 ,  B
U11 ,   ,  SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BL-2 ,  0.281 ,  -26.416 ,  0 ,  B
C9 ,  0.1uF ,  C0603 ,  0.195 ,  -29.21 ,  180 ,  B
R1 ,  100R ,  R0603 ,  0.182 ,  -31.039 ,  0 ,  B
SW6 ,   ,  KEY-TH_CPG1511F01S0X ,  -82.612 ,  35.867 ,  0 ,  T
SW4 ,   ,  KEY-TH_CPG1511F01S0X ,  -45.035 ,  35.867 ,  0 ,  T
SW3 ,   ,  KEY-TH_CPG1511F01S0X ,  -45.035 ,  15.848 ,  0 ,  T
SW2 ,   ,  KEY-TH_CPG1511F01S0X ,  -63.833 ,  15.848 ,  0 ,  T
SW1 ,   ,  KEY-TH_CPG1511F01S0X ,  -82.631 ,  15.848 ,  0 ,  T
SW5 ,   ,  KEY-TH_CPG1511F01S0X ,  -63.824 ,  35.867 ,  0 ,  T
C12 ,  0.1uF ,  C0603 ,  -85.087 ,  -17.117 ,  180 ,  B
C13 ,  0.1uF ,  C0603 ,  -67.552 ,  -17.117 ,  180 ,  B
C14 ,  0.1uF ,  C0603 ,  -50.017 ,  -17.117 ,  180 ,  B
C15 ,  0.1uF ,  C0603 ,  -50.017 ,  -37.15 ,  180 ,  B
C16 ,  0.1uF ,  C0603 ,  -67.552 ,  -37.15 ,  180 ,  B
C17 ,  0.1uF ,  C0603 ,  -85.087 ,  -37.15 ,  180 ,  B
LED3 ,   ,  LED-SMD_L2.2-W2.0 ,  -15.59 ,  24.384 ,  0 ,  T
LED4 ,   ,  LED-SMD_L2.2-W2.0 ,  -15.59 ,  27.33 ,  0 ,  T
LED5 ,   ,  LED-SMD_L2.2-W2.0 ,  -19.456 ,  24.384 ,  0 ,  T
LED6 ,   ,  LED-SMD_L2.2-W2.0 ,  -19.456 ,  27.33 ,  0 ,  T
C18 ,  0.1uF ,  C0603 ,  -19.411 ,  -27.381 ,  90 ,  B
C20 ,  0.1uF ,  C0603 ,  -19.406 ,  -23.924 ,  270 ,  B
C21 ,  0.1uF ,  C0603 ,  -21.285 ,  -27.381 ,  90 ,  B
C22 ,  0.1uF ,  C0603 ,  -21.336 ,  -23.927 ,  270 ,  B
R13 ,  0R ,  R0603 ,  1.034 ,  -23.325 ,  180 ,  B
R14 ,  0R ,  R0603 ,  -3.325 ,  -23.063 ,  0 ,  B
OLED1 ,   ,  0.96OLED_4P ,  -17 ,  35.037 ,  0 ,  T
